Title,Price,Bedrooms,Bathrooms,Longitude,Latitude
"Barcelona, El Camp d'en Grassot i Gràcia Nova",1830,1,1,2.1660766,41.4092421
"London, Canary Wharf",3170,1,1,-0.0185601,51.5010795
"Lisbon, Santa Catarina",3410,2,2,-9.1493589,38.7109696
"Barcelona, El Camp d'en Grassot i Gràcia Nova",2730,2,2,2.1516045,41.3997478
"Barcelona, El Camp d'en Grassot i Gràcia Nova",2730,2,2,2.1516045,41.3997478
"Athens, Acropolis",820,1,1,23.7261931,37.9671727
"Athens, Marousi",1130,2,1,23.8051739,38.0343103
"Athens, Stavros Niarchos Park Area",2360,3,2,23.6876244,37.942657
"Barcelona, El Born",3410,3,3,2.1843208,41.3849955
"Basel, Kleinhüningen",3101,3,1,7.5948546,47.5803956
"Berlin, Neukölln",1550,1,1,13.4254541,52.4753418
"Copenhagen, Amager",2200,1,1,12.6238577,55.66315549999999
"Lisbon, Alcantara",2660,2,2,-9.1756809,38.7054159
"Lisbon, Arroios",1980,2,1,-9.1457564,38.7254421
"Lisbon, Alvalade",3170,3,2,-9.1477989,38.7513748
"Lisbon, Lapa",2450,2,1,-9.160383099999999,38.7085924
"Lisbon, Campo Pequeno",2160,1,1,-9.1403451,38.7437626
"Lisbon, Arroios",2190,2,1,-9.137019700000002,38.7277227
"Lisbon, Campo de Ourique",2920,2,2,-9.1634386,38.7175404
"Lisbon, Principe Real",2840,2,1,-9.152853200000001,38.7180109
"Lisbon, Alvalade",2880,3,2,-9.1408721,38.7549016
"Lisbon, Alcantara",2760,2,2,-9.1750464,38.7033716
"Lisbon, Alcantara",3280,3,2,-9.1823223,38.7039439
"Lisbon, Avenidas Novas",3070,2,2,-9.146583999999999,38.73500749999999
"Athens, Koukaki",1080,1,1,23.721764500000063,37.96214459999999
"Istanbul, Yildiz - Çiragan",1844,2,1,29.011600999999928,41.0453742
"Istanbul, Yenitepe",1584,2,1,29.13967049999999,40.9898202
"Copenhagen, Frederiksberg",3255,2,1,12.5346184,55.6695358
"Lisbon, Santos",3210,2,1,-9.1492611,38.7084039
"Lisbon, Lapa",2770,2,2,-9.160383099999999,38.7085924
"Lisbon, Avenidas Novas",1960,1,1,-9.1443651,38.73642
"Athens, Agia Paraskevi",1440,3,1,23.8254271,38.0104767
"Athens, Koukaki",1140,1,1,23.7244886,37.9646485
"Athens, Politeia",2170,3,2,23.83637920000001,38.0783077
"Barcelona, El Born",2270,1,1,2.1846702,41.3853632
"Berlin, Friedrichshain",1910,1,1,13.4579619,52.5107175
"Basel, Altstadt Grossbasel",2781,1,1,7.588406099999999,47.55640580000001
"Copenhagen, Ørestaden",2377,1,1,12.5757553,55.6367208
"Madrid, Arapiles",1770,1,1,-3.7091021,40.4320818
"Athens, Psychiko",1730,3,1,23.78134810000006,38.0139781
